Matrix,Init Time (ms),Best Time (ms),Best col_frac,Best hot_frac
spaceShuttleEntry_4,0.008289,0.005075,0,0
west0497,0.005077,0.005077,1,1
adder_dcop_08,0.009921,0.00508,0,0
bcsstk23,0.005463,0.005082,0,0
fpga_dcop_08,0.005082,0.005082,1,1
fpga_dcop_22,0.005082,0.005082,1,1
spaceShuttleEntry_3,0.008131,0.005082,0,0
Kaufhold,0.005999,0.005083,0,0
fpga_dcop_12,0.005083,0.005083,1,1
fpga_dcop_41,0.005083,0.005083,1,1
spaceStation_13,0.00998,0.005083,0,0
Binaryalphadigs_10NN,0.005094,0.005085,0,0
fpga_dcop_35,0.005086,0.005086,1,1
adder_dcop_25,0.010038,0.005089,0,0
fpga_dcop_05,0.005092,0.005092,1,1
G55,0.005096,0.005096,1,1
adder_dcop_49,0.009912,0.005098,0,0
fpga_dcop_48,0.005098,0.005098,1,1
G18,0.008322,0.005099,0,0
adder_dcop_33,0.00995,0.005099,0,0
fpga_dcop_16,0.005099,0.005099,1,1
adder_dcop_69,0.00992,0.0051,0,0
fpga_dcop_20,0.005101,0.005101,1,1
spaceStation_12,0.009175,0.005101,0,0
CSphd,0.005102,0.005102,1,1
fpga_dcop_02,0.005102,0.005102,1,1
spaceStation_8,0.0084,0.005102,0,0
fpga_dcop_46,0.005103,0.005103,1,1
msc00726,0.007629,0.005103,0,0
plantstexture_10NN,0.005339,0.005104,0,0
circuit_1,0.012989,0.005106,0,0
init_adder1,0.010252,0.005107,0,0
fpga_dcop_04,0.005111,0.005111,1,1
fpga_dcop_13,0.005112,0.005112,1,1
str_0,0.005319,0.005112,0,0
cti,0.005635,0.005114,0,0
fpga_dcop_07,0.005114,0.005114,1,1
mycielskian9,0.011274,0.005114,0,0
adder_dcop_27,0.009968,0.005118,0,0
fpga_dcop_28,0.005118,0.005118,1,1
rajat02,0.011876,0.005121,0,0
tumorAntiAngiogenesis_4,0.009169,0.005121,0,0
crack,0.005123,0.005123,1,1
rbsa480,0.005123,0.005123,1,1
fpga_dcop_42,0.005126,0.005126,1,1
gemat12,0.006428,0.005126,0,0
radfr1,0.005346,0.005127,0,0
